S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
256,"2,822.74","2,834.07","2,811.37","2,818.43",-2.7,-0.09,"10,101,817,681.94",3/6/2025
257,"2,846.91","2,850.16","2,808.75","2,821.13",-25.16,-0.88,"10,972,654,473.07",3/5/2025
258,"2,877.22","2,894.62","2,842.78","2,846.30",-30.36,-1.05,"12,946,493,939.18",3/4/2025
259,"2,900.16","2,929.21","2,867.46","2,876.66",-13.62,-0.47,"14,284,510,595.52",3/3/2025
260,"2,829.12","2,890.28","2,826.86","2,890.28",75.24,2.67,"14,250,475,736.94",3/2/2025
261,"2,786.65","2,827.15","2,785.98","2,815.04",49.15,1.77,"11,392,401,815.90",2/27/2025
262,"2,759.07","2,781.95","2,758.84","2,765.88",7.13,0.25,"9,909,386,227.96",2/25/2025
263,"2,754.54","2,785.10","2,746.00","2,758.75",3.35,0.12,"11,085,464,758.61",2/24/2025
264,"2,724.09","2,768.90","2,690.42","2,755.40",11.66,0.42,"11,548,337,612.87",2/23/2025
265,"2,738.93","2,752.35","2,720.69","2,743.74",3.14,0.11,"8,627,687,599.85",2/20/2025
266,"2,735.97","2,757.30","2,726.43","2,740.59",12.68,0.46,"10,437,006,214.82",2/18/2025
267,"2,701.26","2,738.00","2,700.53","2,727.91",29.87,1.1,"10,049,654,832.64",2/17/2025
268,"2,676.91","2,698.31","2,675.90","2,698.03",19.56,0.73,"9,470,308,266.49",2/16/2025
269,"2,686.77","2,697.34","2,673.88","2,678.47",-7.26,-0.27,"7,921,300,982.67",2/13/2025
270,"2,686.80","2,697.41","2,679.78","2,685.73",1.86,0.06,"8,717,847,062.68",2/12/2025
271,"2,678.08","2,691.91","2,673.03","2,683.86",6.54,0.24,"7,246,221,260.29",2/11/2025
272,"2,684.80","2,699.79","2,666.72","2,677.32",-10.98,-0.4,"6,960,292,235.03",2/10/2025
273,"2,697.31","2,725.95","2,683.28","2,688.31",-11.49,-0.42,"8,398,660,628.97",2/9/2025
274,"2,713.66","2,720.48","2,691.56","2,699.81",-11.64,-0.42,"9,247,375,287.26",2/6/2025
275,"2,719.41","2,726.07","2,704.24","2,711.45",-4.45,-0.16,"8,958,007,305.37",2/5/2025
276,"2,733.41","2,745.15","2,707.37","2,715.91",-14.08,-0.51,"8,919,697,775.36",2/4/2025
277,"2,728.64","2,764.17","2,720.42","2,730.00",2.41,0.08,"11,875,967,538.34",2/3/2025
278,"2,662.24","2,727.58","2,662.01","2,727.58",69.8,2.62,"12,955,764,136.98",2/2/2025
279,"2,634.86","2,657.96","2,634.69","2,657.77",24.5,0.93,"9,402,678,033.93",1/28/2025
280,"2,642.30","2,650.71","2,625.58","2,633.27",-10.66,-0.4,"8,924,065,888.66",1/27/2025
281,"2,656.75","2,662.36","2,638.65","2,643.93",-10.41,-0.39,"9,128,673,514.79",1/26/2025
282,"2,670.23","2,681.49","2,644.79","2,654.35",-11.1,-0.41,"7,857,792,326.04",1/23/2025
283,"2,616.66","2,667.23","2,614.37","2,665.45",52.36,2,"9,203,088,349.68",1/22/2025
284,"2,608.40","2,618.99","2,597.61","2,613.08",5.08,0.19,"6,190,141,891.18",1/21/2025
285,"2,602.88","2,623.61","2,600.77","2,607.99",6.78,0.26,"6,570,477,886.37",1/20/2025
286,"2,590.14","2,604.01","2,580.01","2,601.21",12.58,0.48,"6,257,235,624.30",1/19/2025
287,"2,598.66","2,616.97","2,580.40","2,588.62",-7.33,-0.28,"5,933,711,674.73",1/16/2025
288,"2,596.82","2,611.38","2,589.99","2,595.96",1.83,0.07,"5,824,904,134.69",1/15/2025
289,"2,610.05","2,615.55","2,580.74","2,594.13",-15.54,-0.59,"6,650,883,103.54",1/13/2025
290,"2,651.67","2,654.82","2,602.46","2,609.67",-25.41,-0.96,"3,997,909,323.86",1/12/2025
291,"2,656.49","2,656.61","2,629.06","2,635.09",-18.14,-0.68,"7,305,342,581.67",1/9/2025
292,"2,670.30","2,672.14","2,642.59","2,653.23",6.38,0.24,"6,407,992,784.10",1/8/2025
293,"2,654.34","2,656.52","2,625.24","2,646.84",6.16,0.23,"5,384,672,295.66",1/7/2025
294,"2,601.09","2,640.73","2,594.34","2,640.68",49.12,1.89,"6,305,431,854.50",1/6/2025
295,"2,586.03","2,592.91","2,574.43","2,591.56",5.32,0.2,"4,860,201,974.97",1/5/2025
296,"2,583.94","2,586.23","2,566.27","2,586.23",4.63,0.17,"4,603,282,379.17",1/2/2025
297,"2,577.43","2,589.42","2,567.97","2,581.60",5.1,0.19,"3,597,445,334.37",1/1/2025
298,"2,613.66","2,613.66","2,545.51","2,576.50",-33.08,-1.26,"5,674,686,091.49",12/31/2024
299,"2,631.98","2,641.17","2,601.84","2,609.58",-21.12,-0.8,"5,474,868,764.77",12/29/2024
300,"2,625.39","2,639.08","2,607.75","2,630.71",4.19,0.15,"5,329,274,454.77",12/26/2024
301,"2,615.70","2,645.20","2,612.94","2,626.31",14.11,0.54,"5,202,263,038.57",12/24/2024
302,"2,582.35","2,612.20","2,580.49","2,612.20",28.91,1.11,"4,430,024,603.33",12/23/2024
303,"2,587.30","2,614.28","2,569.00","2,583.29",-13.53,-0.52,"4,518,385,107.16",12/22/2024
304,"2,626.79","2,634.57","2,593.18","2,596.82",-31.43,-1.19,"4,760,267,483.47",12/19/2024
305,"2,634.67","2,656.08","2,621.00","2,628.26",-5.6,-0.21,"4,270,082,575.91",12/18/2024
306,"2,633.28","2,648.55","2,611.89","2,633.87",2.95,0.11,"4,343,234,740.51",12/17/2024
307,"2,683.99","2,684.32","2,622.76","2,630.91",-51.37,-1.91,"5,935,604,847.03",12/16/2024
308,"2,715.71","2,730.31","2,678.09","2,682.29",-33.42,-1.23,"6,144,065,744.00",12/12/2024
309,"2,671.32","2,715.71","2,662.72","2,715.71",45.88,1.71,"5,050,654,450.09",12/11/2024
310,"2,676.14","2,694.85","2,660.36","2,669.82",-6.32,-0.23,"4,413,320,290.80",12/10/2024
311,"2,687.74","2,709.58","2,662.36","2,676.15",-12.84,-0.47,"5,629,945,822.09",12/9/2024
312,"2,735.65","2,735.67","2,675.92","2,689.00",-45.93,-1.67,"7,460,304,999.55",12/8/2024
313,"2,752.39","2,764.29","2,717.34","2,734.93",-15.93,-0.57,"8,369,687,402.72",12/5/2024
314,"2,795.71","2,795.78","2,747.65","2,750.87",-24.97,-0.89,"9,132,468,906.77",12/4/2024
315,"2,772.74","2,793.03","2,751.31","2,775.85",17.8,0.64,"8,521,219,299.67",12/3/2024
316,"2,749.26","2,773.47","2,746.47","2,758.04",19.97,0.72,"10,541,746,564.07",12/2/2024
317,"2,762.46","2,764.85","2,707.94","2,738.06",-9.99,-0.36,"8,832,306,919.82",12/1/2024
318,"2,757.13","2,774.14","2,738.80","2,748.05",-8.3,-0.3,"8,545,501,623.12",11/28/2024
319,"2,721.76","2,755.98","2,721.35","2,756.36",39.7,1.46,"9,312,754,840.36",11/27/2024
320,"2,704.57","2,719.84","2,685.64","2,716.66",33.41,1.24,"7,449,898,987.89",11/26/2024
321,"2,682.28","2,694.67","2,661.21","2,683.24",15.83,0.59,"6,345,809,597.83",11/25/2024
322,"2,690.52","2,698.76","2,661.22","2,667.40",-13.03,-0.48,"7,728,861,250.73",11/24/2024
323,"2,711.55","2,722.59","2,676.25","2,680.44",-31.31,-1.15,"8,257,643,886.83",11/21/2024
324,"2,705.16","2,713.93","2,683.79","2,711.75",9.09,0.33,"7,092,879,946.39",11/20/2024
325,"2,758.41","2,759.54","2,696.42","2,702.65",-51.11,-1.85,"10,468,320,521.90",11/19/2024
326,"2,753.45","2,788.12","2,748.29","2,753.76",4.98,0.18,"11,726,756,904.61",11/17/2024
327,"2,739.00","2,762.51","2,729.67","2,748.78",13.95,0.51,"10,320,331,436.20",11/14/2024
328,"2,754.62","2,757.38","2,728.11","2,734.83",-14.12,-0.51,"7,911,976,449.08",11/13/2024
329,"2,765.69","2,788.35","2,741.63","2,748.96",-11.24,-0.4,"7,859,740,798.91",11/12/2024
330,"2,740.12","2,782.43","2,734.41","2,760.21",22.14,0.8,"11,315,207,127.09",11/11/2024
331,"2,681.58","2,738.12","2,680.70","2,738.06",62.54,2.33,"9,771,124,073.54",11/10/2024
332,"2,679.47","2,684.81","2,669.19","2,675.51",-1.88,-0.07,"5,222,486,851.23",11/6/2024
333,"2,678.97","2,696.85","2,670.12","2,677.40",-0.21,0,"4,205,505,237.61",11/5/2024
334,"2,693.87","2,705.24","2,671.30","2,677.62",-14.43,-0.53,"5,953,950,787.59",10/30/2024
335,"2,648.36","2,692.11","2,647.99","2,692.05",46.69,1.76,"6,128,264,580.33",10/29/2024
336,"2,620.93","2,647.23","2,620.66","2,645.36",27.41,1.04,"5,344,800,912.47",10/28/2024
337,"2,629.83","2,632.94","2,610.14","2,617.95",-9.19,-0.34,"4,732,487,864.93",10/27/2024
338,"2,646.49","2,650.18","2,614.65","2,627.14",-18.25,-0.68,"5,419,104,157.29",10/24/2024
339,"2,675.20","2,684.66","2,637.54","2,645.39",-20.41,-0.76,"6,278,951,853.73",10/23/2024
340,"2,640.18","2,669.38","2,632.62","2,665.81",25.88,0.98,"4,171,665,619.69",10/22/2024
341,"2,698.72","2,700.82","2,635.43","2,639.92",-57.99,-2.14,"5,900,791,044.48",10/21/2024
342,"2,733.37","2,748.78","2,689.46","2,697.91",-47.44,-1.72,"8,180,262,572.11",10/20/2024
343,"2,747.69","2,780.97","2,734.19","2,745.36",2.47,0.09,"7,192,792,166.86",10/17/2024
344,"2,704.69","2,748.80","2,704.04","2,742.88",43.22,1.6,"5,660,237,737.60",10/16/2024
345,"2,668.08","2,700.23","2,667.82","2,699.66",31.48,1.17,"3,062,337,799.23",10/15/2024
346,"2,661.79","2,672.65","2,643.12","2,668.17",4.85,0.18,"3,761,512,706.84",10/9/2024
347,"2,692.49","2,699.55","2,652.66","2,663.32",-27.39,-1.01,"4,593,727,244.34",10/8/2024
348,"2,656.86","2,707.16","2,656.35","2,690.72",37.13,1.39,"7,095,953,027.17",10/7/2024
349,"2,597.51","2,653.63","2,583.25","2,653.58",56.09,2.15,"6,138,206,705.70",10/6/2024
350,"2,629.76","2,643.76","2,582.72","2,597.49",-26.07,-0.99,"6,778,195,881.11",10/2/2024
351,"2,510.34","2,623.56","2,510.11","2,623.56",114.7,4.57,"7,616,522,258.00",10/1/2024
352,"2,466.60","2,508.86","2,462.79","2,508.86",44.45,1.8,"3,715,359,935.11",9/30/2024
353,"2,483.91","2,494.57","2,442.61","2,464.40",-22.36,-0.89,"4,050,658,036.93",9/29/2024
354,"2,519.03","2,541.69","2,479.65","2,486.76",-32.81,-1.3,"4,841,407,720.13",9/26/2024
355,"2,473.06","2,519.97","2,443.28","2,519.57",49.18,1.99,"4,813,223,004.48",9/25/2024
356,"2,529.14","2,547.47","2,462.61","2,470.39",-58.93,-2.33,"5,689,561,356.68",9/24/2024
357,"2,607.85","2,608.43","2,517.79","2,529.33",-59.02,-2.28,"5,660,302,683.50",9/23/2024
358,"2,601.29","2,643.51","2,570.27","2,588.35",11.58,0.44,"5,092,948,690.68",9/22/2024
359,"2,584.34","2,606.04","2,551.40","2,576.76",-4,-0.15,"5,669,194,961.88",9/18/2024
360,"2,635.96","2,637.53","2,570.62","2,580.76",-57.03,-2.16,"7,361,988,383.74",9/16/2024
361,"2,698.51","2,734.58","2,630.11","2,637.79",-50.73,-1.88,"10,339,235,957.44",9/15/2024
362,"2,625.46","2,688.52","2,604.83","2,688.53",78.31,3,"8,169,274,612.81",9/12/2024
363,"2,636.29","2,651.19","2,601.91","2,610.21",-22.73,-0.86,"6,851,179,051.18",9/11/2024
364,"2,648.57","2,688.26","2,616.98","2,632.94",-13.09,-0.49,"7,245,568,421.39",9/10/2024
365,"2,702.56","2,706.54","2,637.71","2,646.03",-55.86,-2.06,"9,439,106,425.54",9/9/2024
366,"2,732.82","2,760.45","2,697.84","2,701.90",-25.46,-0.93,"10,122,408,249.12",9/8/2024
367,"2,740.21","2,758.92","2,686.62","2,727.36",-12.1,-0.44,"9,651,513,246.31",9/5/2024
368,"2,860.07","2,860.39","2,732.40","2,739.46",-90.73,-3.2,"12,925,688,215.22",9/4/2024
369,"2,834.42","2,860.43","2,802.92","2,830.16",6.9,0.24,"13,577,105,289.17",9/3/2024
370,"2,698.00","2,823.70","2,678.91","2,823.25",127.32,4.72,"13,104,631,802.67",9/2/2024
371,"2,749.68","2,781.75","2,686.61","2,695.93",-53.63,-1.95,"10,517,682,349.32",9/1/2024
372,"2,791.29","2,800.28","2,727.57","2,749.57",-36.83,-1.32,"12,243,601,365.90",8/29/2024
373,"2,791.09","2,860.89","2,761.02","2,786.40",3.8,0.13,"13,727,368,393.64",8/28/2024
374,"2,899.79","2,902.75","2,770.39","2,782.60",-111.96,-3.86,"18,649,533,170.34",8/27/2024
375,"2,987.06","2,990.04","2,885.39","2,894.57",-79.88,-2.68,"19,740,593,800.64",8/25/2024
376,"2,974.78","3,018.93","2,967.47","2,974.46",6.01,0.2,"19,160,652,085.56",8/22/2024
377,"2,981.03","3,002.74","2,943.61","2,968.44",2.11,0.07,"18,906,373,792.00",8/21/2024
378,"3,017.20","3,048.15","2,945.49","2,966.33",-34.48,-1.15,"28,836,997,376.12",8/18/2024
379,"2,979.89","3,036.64","2,975.11","3,000.81",43.05,1.45,"29,958,519,216.94",8/15/2024
380,"2,936.62","2,959.19","2,883.81","2,957.75",34.29,1.17,"23,430,581,150.48",8/14/2024
381,"2,947.70","2,971.69","2,891.43","2,923.46",-8.18,-0.27,"21,515,010,633.31",8/13/2024
382,"2,876.48","2,937.40","2,876.46","2,931.65",70.81,2.47,"27,242,034,765.88",8/12/2024
383,"2,780.08","2,860.96","2,779.24","2,860.91",94.46,3.41,"25,779,453,509.90",8/11/2024
384,"2,772.84","2,811.15","2,744.86","2,766.38",6.7,0.24,"20,070,434,103.38",8/8/2024
385,"2,644.73","2,759.67","2,630.86","2,759.67",108.35,4.08,"17,950,918,627.83",8/7/2024
386,"2,802.04","2,815.94","2,644.85","2,651.32",-145.05,-5.18,"23,716,716,874.10",8/6/2024
387,"2,770.38","2,806.69","2,744.10","2,796.38",40.76,1.47,"21,864,992,277.64",8/5/2024
388,"2,772.23","2,805.57","2,742.53","2,755.62",-5.29,-0.19,"21,713,431,007.73",8/1/2024
389,"2,708.24","2,791.02","2,707.57","2,760.90",64.25,2.38,"21,911,503,161.05",7/31/2024
390,"2,669.41","2,709.89","2,609.02","2,696.65",35.55,1.33,"17,266,391,542.96",7/30/2024
391,"2,706.73","2,737.68","2,655.15","2,661.09",-20.46,-0.76,"19,609,177,106.29",7/29/2024
392,"2,606.42","2,708.58","2,606.40","2,681.56",113.42,4.41,"15,810,596,235.45",7/28/2024
393,"2,540.14","2,572.88","2,518.47","2,568.11",32,1.26,"14,137,899,049.28",7/25/2024
394,"2,573.28","2,600.41","2,513.43","2,536.11",-27.32,-1.06,"16,208,577,314.52",7/24/2024
395,"2,493.92","2,563.45","2,469.56","2,563.43",75.33,3.02,"14,116,330,995.75",7/23/2024
396,"2,491.17","2,504.53","2,441.56","2,488.09",2.15,0.08,"13,915,535,440.97",7/22/2024
397,"2,431.55","2,494.71","2,408.25","2,485.94",61.61,2.54,"15,238,271,290.97",7/21/2024
398,"2,373.57","2,459.94","2,355.59","2,424.32",59.68,2.52,"15,548,684,746.66",7/18/2024
399,"2,323.71","2,364.76","2,311.93","2,364.63",54.04,2.33,"12,059,266,113.47",7/17/2024
400,"2,243.11","2,310.84","2,231.83","2,310.59",70.18,3.13,"9,138,629,642.41",7/16/2024
401,"2,277.85","2,287.15","2,231.69","2,240.41",-17.18,-0.76,"8,731,436,037.14",7/15/2024
402,"2,239.41","2,290.95","2,230.50","2,257.59",52.97,2.4,"7,620,498,520.87",7/14/2024
403,"2,188.63","2,205.15","2,185.02","2,204.61",29.21,1.34,"7,080,698,146.05",7/11/2024
404,"2,162.82","2,176.48","2,162.13","2,175.40",23.25,1.08,"5,744,083,391.51",7/10/2024
405,"2,138.61","2,152.14","2,130.07","2,152.14",15.79,0.73,"5,535,958,885.30",7/9/2024
406,"2,143.95","2,149.17","2,128.79","2,136.35",-4.62,-0.21,"4,569,836,106.00",7/8/2024
407,"2,121.99","2,146.81","2,121.99","2,140.97",21.27,1,"6,002,931,854.70",7/7/2024
408,"2,107.77","2,129.08","2,106.04","2,119.70",15.46,0.73,"6,482,546,980.63",7/4/2024
409,"2,101.83","2,104.22","2,077.45","2,104.22",3.79,0.18,"5,083,528,935.17",7/3/2024
410,"2,085.82","2,162.49","2,085.82","2,100.43",47.04,2.29,"4,576,831,720.09",7/2/2024
411,"2,038.70","2,053.38","2,030.50","2,053.38",16.29,0.8,"2,999,964,256.53",7/1/2024
412,"2,051.77","2,059.28","2,034.81","2,037.09",-14.83,-0.72,"3,607,198,407.65",6/30/2024
413,"2,059.60","2,059.74","2,047.02","2,051.92",-8.24,-0.4,"3,715,903,824.53",6/27/2024
414,"2,075.77","2,077.11","2,055.62","2,060.16",-11.6,-0.56,"4,058,047,734.22",6/26/2024
415,"2,067.31","2,077.22","2,067.31","2,071.77",5.6,0.27,"4,187,796,833.89",6/25/2024
416,"2,063.10","2,079.19","2,059.15","2,066.16",3.21,0.15,"5,077,255,116.14",6/24/2024
417,"2,068.71","2,079.15","2,057.43","2,062.94",-5.37,-0.25,"4,374,597,458.64",6/23/2024
418,"2,095.13","2,095.13","2,063.99","2,068.31",-10.44,-0.5,"3,870,744,903.34",6/20/2024
419,"2,077.74","2,086.65","2,073.43","2,078.76",2.27,0.1,"3,404,372,632.64",6/19/2024
420,"2,098.59","2,098.59","2,073.98","2,076.49",-18.76,-0.89,"4,055,737,884.32",6/18/2024
421,"2,116.03","2,116.03","2,090.32","2,095.25",-17.04,-0.8,"5,472,253,551.85",6/16/2024
422,"2,125.31","2,126.61","2,106.65","2,112.29",-9.32,-0.43,"6,443,029,208.11",6/13/2024
423,"2,117.06","2,133.73","2,116.40","2,121.62",6.37,0.3,"5,894,089,245.13",6/12/2024
424,"2,099.77","2,115.24","2,087.16","2,115.24",33.15,1.59,"5,555,361,739.06",6/11/2024
425,"2,088.14","2,088.77","2,072.33","2,082.09",8.9,0.42,"5,490,609,782.28",6/10/2024
426,"2,093.71","2,093.71","2,069.01","2,073.19",-4.59,-0.22,"5,189,079,522.43",6/9/2024
427,"2,080.55","2,088.61","2,073.58","2,077.78",-1.93,-0.09,"4,388,278,720.37",6/6/2024
428,"2,087.73","2,091.47","2,072.47","2,079.71",-5.58,-0.26,"3,992,976,492.79",6/5/2024
429,"2,086.91","2,092.28","2,078.19","2,085.30",6.22,0.29,"4,084,715,877.40",6/4/2024
430,"2,087.80","2,095.67","2,073.29","2,079.07",-3.97,-0.19,"4,004,070,243.60",6/3/2024
431,"2,072.97","2,085.87","2,068.19","2,083.04",13.51,0.65,"4,311,015,629.95",6/2/2024
432,"2,091.02","2,099.87","2,065.68","2,069.53",-19.89,-0.95,"4,217,494,195.64",5/30/2024
433,"2,133.72","2,152.85","2,086.73","2,089.42",-23.81,-1.12,"4,575,063,274.38",5/29/2024
434,"2,111.67","2,124.31","2,097.07","2,113.27",3.93,0.18,"3,893,764,143.93",5/27/2024
435,"2,135.22","2,141.25","2,106.44","2,109.34",-22.14,-1.03,"4,441,538,471.69",5/26/2024
436,"2,116.71","2,140.02","2,109.24","2,131.49",15.54,0.73,"5,687,680,912.80",5/22/2024
437,"2,095.56","2,118.26","2,081.11","2,115.94",23.94,1.14,"5,206,208,111.56",5/21/2024
438,"2,069.88","2,119.89","2,069.88","2,092.00",27.54,1.33,"5,854,354,212.19",5/20/2024
439,"2,044.81","2,068.91","2,028.15","2,064.45",45.69,2.26,"5,251,024,786.63",5/19/2024
440,"2,029.10","2,029.10","2,009.56","2,018.76",0.79,0.03,"4,233,816,403.70",5/16/2024
441,"2,030.87","2,048.23","2,013.53","2,017.97",-9.54,-0.47,"3,708,430,055.16",5/15/2024
442,"2,000.66","2,027.51","1,999.56","2,027.51",28.62,1.43,"4,088,853,664.80",5/14/2024
443,"1,979.68","2,000.14","1,970.64","1,998.89",24.39,1.23,"3,408,608,157.91",5/13/2024
444,"1,973.78","1,981.57","1,962.21","1,974.50",8.26,0.42,"3,155,142,168.43",5/12/2024
445,"1,963.45","1,970.35","1,955.27","1,966.23",5.63,0.28,"3,121,286,362.59",5/9/2024
446,"1,961.27","1,967.92","1,954.39","1,960.60",-0.21,-0.01,"2,547,030,825.49",5/8/2024
447,"1,959.91","1,970.44","1,955.22","1,960.81",2.06,0.1,"2,140,502,621.77",5/7/2024
448,"1,980.22","1,980.22","1,952.96","1,958.75",-15.62,-0.79,"2,891,319,979.87",5/6/2024
449,"1,998.44","1,998.52","1,970.23","1,974.37",-24.58,-1.23,"3,795,748,296.38",5/5/2024
450,"2,025.78","2,025.78","1,995.84","1,998.96",-7.31,-0.36,"4,133,362,726.23",5/2/2024
451,"1,991.10","2,016.57","1,979.36","2,006.28",25.93,1.3,"4,800,044,601.66",4/30/2024
452,"1,990.31","1,990.31","1,974.93","1,980.34",0.07,0,"2,959,458,501.43",4/29/2024
453,"1,973.53","1,981.31","1,965.18","1,980.27",14.33,0.72,"2,682,586,955.82",4/28/2024
454,"1,971.36","1,974.58","1,960.92","1,965.93",-3.24,-0.16,"2,366,975,594.11",4/25/2024
455,"1,969.41","1,979.40","1,963.36","1,969.17",0.15,0,"2,536,431,998.49",4/24/2024
456,"1,984.08","1,992.55","1,964.60","1,969.02",-15.41,-0.77,"2,058,305,185.18",4/22/2024
457,"1,972.92","1,984.43","1,953.37","1,984.43",12.29,0.62,"2,259,959,456.88",4/21/2024
458,"1,992.37","1,992.37","1,967.45","1,972.14",-19.56,-0.98,"2,093,612,792.77",4/18/2024
459,"2,004.96","2,004.96","1,988.46","1,991.71",-14.81,-0.73,"2,103,019,218.57",4/16/2024
460,"2,022.31","2,026.83","2,002.51","2,006.52",-16.82,-0.83,"2,797,577,432.68",4/15/2024
461,"2,025.70","2,031.86","2,018.21","2,023.35",-2.35,-0.11,"3,063,771,798.12",4/14/2024
462,"2,038.10","2,045.20","2,016.75","2,025.30",-10.71,-0.52,"3,485,660,640.32",4/10/2024
463,"2,035.16","2,045.77","2,030.66","2,036.01",9.19,0.45,"4,143,783,989.11",4/9/2024
464,"2,009.05","2,026.81","2,000.37","2,026.81",22.75,1.13,"4,256,676,333.55",4/7/2024
465,"2,007.13","2,011.24","2,000.54","2,004.05",-2.73,-0.13,"3,037,267,307.84",4/4/2024
466,"2,011.65","2,017.09","2,000.00","2,006.78",-3.43,-0.17,"2,536,233,986.66",4/3/2024
467,"2,014.54","2,017.82","2,004.42","2,010.21",-1.85,-0.09,"2,291,645,585.48",4/2/2024
468,"2,017.17","2,019.50","2,007.03","2,012.07",-6.26,-0.31,"2,874,754,305.75",4/1/2024
469,"2,034.70","2,040.27","2,014.51","2,018.33",-17.3,-0.85,"3,205,313,024.75",3/31/2024
470,"2,033.42","2,039.13","2,023.21","2,035.64",4.78,0.23,"2,653,349,468.50",3/28/2024
471,"2,042.09","2,053.47","2,025.19","2,030.86",-10.83,-0.53,"2,235,485,534.30",3/27/2024
472,"2,033.00","2,048.63","2,032.16","2,041.70",10.14,0.49,"2,354,348,503.00",3/26/2024
473,"2,050.68","2,037.60","2,027.89","2,031.55",-17.01,-0.83,"2,489,118,485.07",3/25/2024
474,"2,065.48","2,074.86","2,045.33","2,048.57",-15.37,-0.74,"4,313,017,713.50",3/21/2024
475,"2,072.47","2,084.46","2,058.94","2,063.95",-3.34,-0.16,"3,496,284,036.15",3/20/2024
476,"2,074.53","2,091.19","2,064.50","2,067.29",-6.24,-0.3,"3,633,936,554.86",3/19/2024
477,"2,073.59","2,075.62","2,060.48","2,073.53",3.27,0.15,"2,885,637,818.91",3/18/2024
478,"2,082.41","2,085.31","2,064.49","2,070.25",-10.62,-0.51,"3,387,980,384.32",3/17/2024
479,"2,110.55","2,110.55","2,074.18","2,080.87",-27.84,-1.32,"3,943,592,302.13",3/14/2024
480,"2,123.91","2,123.91","2,094.32","2,108.72",-2.48,-0.11,"4,248,523,332.22",3/13/2024
481,"2,065.62","2,111.21","2,064.17","2,111.21",58.55,2.85,"4,551,632,347.81",3/12/2024
482,"2,032.58","2,061.14","2,032.58","2,052.65",22.1,1.08,"2,922,771,558.90",3/10/2024
483,"2,020.94","2,040.67","2,017.28","2,030.55",13.51,0.67,"3,199,205,820.34",3/7/2024
484,"2,008.92","2,036.26","1,992.79","2,017.03",9.33,0.46,"3,450,838,357.20",3/6/2024
485,"2,094.71","2,094.71","2,003.98","2,007.69",-70.31,-3.38,"4,113,676,958.02",3/5/2024
486,"1,977.12","2,078.00","1,977.12","2,078.00",117.7,6,"375,209,978.32",3/4/2024
487,"1,972.62","1,975.39","1,946.47","1,960.30",-11.78,-0.59,"2,082,786,089.07",3/3/2024
488,"2,001.02","2,007.14","1,970.42","1,972.09",-28.68,-1.43,"2,598,733,478.85",2/29/2024
489,"2,002.50","2,009.40","1,992.63","2,000.77",-0.87,-0.04,"2,038,100,977.41",2/28/2024
490,"1,992.69","2,007.66","1,981.27","2,001.64",9.34,0.46,"1,869,813,526.20",2/27/2024
491,"1,980.89","1,996.83","1,973.35","1,992.30",13.28,0.67,"2,017,739,060.68",2/26/2024
492,"2,007.41","2,011.64","1,977.39","1,979.02",-26.81,-1.33,"3,086,951,070.50",2/25/2024
493,"2,027.57","2,030.14","2,000.63","2,005.83",-20.76,-1.02,"3,206,167,025.36",2/22/2024
494,"2,034.38","2,044.15","2,021.05","2,026.59",-6.46,-0.31,"2,241,961,799.36",2/21/2024
495,"2,034.78","2,043.31","2,026.24","2,033.06",-1.76,-0.08,"3,113,556,978.43",2/20/2024
496,"2,060.67","2,061.08","2,030.87","2,034.82",-27.21,-1.31,"3,775,422,196.16",2/18/2024
497,"2,075.62","2,076.84","2,055.82","2,062.03",-14.46,-0.69,"3,869,118,741.97",2/15/2024
498,"2,071.71","2,081.56","2,064.85","2,076.50",5.91,0.28,"4,252,722,895.25",2/14/2024
499,"2,101.54","2,101.54","2,065.14","2,070.59",-30.56,-1.45,"4,667,179,304.13",2/13/2024
500,"2,085.81","2,103.56","2,081.99","2,101.16",15.33,0.73,"3,586,984,128.47",2/12/2024
501,"2,101.27","2,108.73","2,083.76","2,085.82",-10.5,-0.5,"4,085,678,472.16",2/11/2024
502,"2,092.41","2,097.89","2,082.96","2,096.32",5.68,0.27,"3,212,283,453.62",2/8/2024
503,"2,095.10","2,107.51","2,086.97","2,090.64",4.92,0.23,"2,842,550,237.46",2/7/2024
504,"2,073.83","2,086.98","2,068.18","2,085.71",9.44,0.45,"2,591,534,907.76",2/6/2024
505,"2,063.92","2,082.60","2,060.77","2,076.27",14.57,0.7,"2,438,058,254.56",2/5/2024
506,"2,067.47","2,072.79","2,053.90","2,061.70",-5.31,-0.25,"3,216,727,221.79",2/4/2024
507,"2,103.20","2,103.20","2,063.78","2,067.01",-30.92,-1.47,"4,180,632,139.37",2/1/2024
508,"2,119.17","2,131.27","2,088.70","2,097.93",-21.67,-1.02,"5,295,605,057.47",1/31/2024
509,"2,105.87","2,127.94","2,105.87","2,119.61",14.88,0.7,"5,544,217,593.12",1/30/2024
510,"2,097.48","2,114.31","2,097.48","2,104.72",10.26,0.48,"4,566,522,230.81",1/29/2024
511,"2,084.63","2,097.47","2,075.45","2,094.46",10.37,0.49,"3,833,776,580.75",1/28/2024
512,"2,088.49","2,096.70","2,073.09","2,084.09",-3.94,-0.18,"3,764,505,450.97",1/25/2024
513,"2,098.97","2,119.55","2,083.68","2,088.04",-10.25,-0.48,"3,897,022,598.98",1/24/2024
514,"2,096.99","2,111.95","2,087.51","2,098.29",-0.4,-0.01,"4,294,566,751.66",1/23/2024
