S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
44,"2,674.53","2,682.20","2,657.67","2,662.91",-8.16,-0.3,"7,942,760,220.64",2/16/2026
45,"2,666.73","2,681.65","2,657.86","2,671.07",8.97,0.33,"11,102,550,966.55",2/12/2026
46,"2,674.06","2,692.55","2,656.36","2,662.09",-0.04,0,"8,692,250,855.87",2/11/2026
47,"2,671.86","2,682.41","2,655.30","2,662.14",-10.25,-0.38,"8,616,410,132.45",2/10/2026
48,"2,701.60","2,702.75","2,665.02","2,672.39",-26.05,-0.96,"10,773,915,289.21",2/9/2026
49,"2,712.33","2,728.43","2,695.20","2,698.45",-10.24,-0.37,"11,659,752,143.11",2/8/2026
50,"2,681.26","2,709.00","2,679.75","2,708.70",27.19,1.01,"11,582,893,800.91",2/5/2026
51,"2,660.88","2,702.90","2,659.86","2,681.50",-1.64,-0.06,"7,499,742,098.45",2/4/2026
52,"2,695.11","2,709.89","2,675.16","2,683.15",-12.58,-0.46,"8,631,512,542.17",2/3/2026
53,"2,680.46","2,706.98","2,679.86","2,695.73",1.53,0.05,"8,223,965,669.86",2/2/2026
54,"2,714.86","2,719.62","2,688.08","2,694.20",-19.85,-0.73,"9,109,457,278.45",2/1/2026
55,"2,732.04","2,742.53","2,710.04","2,714.05",-17.53,-0.64,"14,563,138,865.71",1/29/2026
56,"2,728.31","2,735.55","2,702.56","2,731.59",5.08,0.18,"11,493,989,185.27",1/28/2026
57,"2,769.00","2,782.96","2,718.85","2,726.51",-42.58,-1.53,"14,167,179,442.71",1/27/2026
58,"2,776.84","2,788.09","2,746.87","2,769.09",-3.07,-0.11,"16,355,730,466.82",1/26/2026
59,"2,716.25","2,772.22","2,715.78","2,772.17",57.55,2.12,"13,785,729,645.05",1/25/2026
60,"2,706.36","2,714.67","2,693.04","2,714.61",9.23,0.34,"9,073,978,098.78",1/22/2026
61,"2,717.70","2,728.05","2,695.10","2,705.38",-9.43,-0.34,"8,923,650,346.99",1/21/2026
62,"2,679.10","2,726.74","2,678.81","2,714.81",42.26,1.58,"11,858,421,070.67",1/20/2026
63,"2,640.54","2,672.73","2,640.13","2,672.55",31.12,1.17,"8,402,797,775.59",1/18/2026
64,"2,636.51","2,648.98","2,633.00","2,641.43",1.52,0.05,"6,209,438,906.36",1/14/2026
65,"2,633.21","2,653.66","2,631.78","2,639.91",4.9,0.18,"6,990,484,039.45",1/13/2026
66,"2,643.18","2,651.76","2,628.98","2,635.00",-5.54,-0.2,"6,472,607,801.60",1/12/2026
67,"2,633.84","2,640.56","2,627.88","2,640.54",4.59,0.17,"4,908,094,092.73",1/8/2026
68,"2,651.04","2,654.62","2,630.86","2,635.94",-13.35,-0.5,"5,175,091,991.59",1/7/2026
69,"2,640.81","2,662.66","2,639.88","2,649.30",9.93,0.37,"7,123,365,296.18",1/6/2026
70,"2,610.57","2,639.56","2,609.51","2,639.37",28.73,1.1,"6,473,736,099.26",1/5/2026
71,"2,616.81","2,618.62","2,604.42","2,610.63",-10.29,-0.39,"5,017,587,294.33",1/4/2026
72,"2,634.96","2,637.10","2,613.50","2,620.92",-12.83,-0.48,"4,713,905,470.50",1/1/2026
73,"2,622.65","2,643.64","2,622.10","2,633.76",10.87,0.41,"5,134,850,052.24",12/31/2025
74,"2,639.98","2,642.67","2,618.19","2,622.88",-10.53,-0.4,"4,774,786,034.55",12/29/2025
75,"2,586.64","2,633.80","2,586.41","2,633.42",47.55,1.83,"5,531,370,061.57",12/28/2025
76,"2,585.51","2,593.57","2,577.63","2,585.87",1.37,0.05,"3,224,664,663.45",12/24/2025
77,"2,579.38","2,584.72","2,568.94","2,584.49",3.27,0.12,"3,429,893,942.06",12/23/2025
78,"2,595.07","2,597.16","2,574.84","2,581.21",-13.88,-0.53,"3,515,930,718.49",12/22/2025
79,"2,614.45","2,616.25","2,588.73","2,595.10",-19.92,-0.76,"4,528,715,671.14",12/21/2025
80,"2,629.92","2,631.09","2,608.89","2,615.03",-10.66,-0.4,"4,577,827,903.19",12/18/2025
81,"2,622.32","2,632.81","2,619.14","2,625.69",5.7,0.21,"4,053,720,782.10",12/17/2025
82,"2,602.19","2,619.99","2,600.86","2,619.99",18.37,0.7,"3,294,227,122.33",12/16/2025
83,"2,593.52","2,602.89","2,587.23","2,601.61",6.74,0.25,"3,441,903,770.17",12/15/2025
84,"2,607.08","2,614.31","2,587.88","2,594.87",-12.5,-0.47,"4,007,455,076.99",12/14/2025
85,"2,608.15","2,611.99","2,601.50","2,607.37",-1.66,-0.06,"3,497,979,756.56",12/11/2025
86,"2,613.63","2,618.53","2,596.70","2,609.03",-5.03,-0.19,"3,738,772,373.24",12/10/2025
87,"2,607.35","2,620.57","2,605.60","2,614.07",7.39,0.28,"3,755,027,795.92",12/9/2025
88,"2,609.79","2,618.22","2,601.38","2,606.67",-3.02,-0.11,"4,669,548,742.61",12/8/2025
89,"2,629.69","2,636.97","2,602.95","2,609.69",-21.48,-0.81,"5,334,415,331.05",12/7/2025
90,"2,647.52","2,658.27","2,623.10","2,631.17",-13.52,-0.51,"5,235,699,337.33",12/3/2025
91,"2,640.90","2,652.52","2,638.17","2,644.70",-0.53,-0.02,"4,481,394,149.97",12/2/2025
92,"2,648.33","2,658.42","2,630.66","2,645.24",-4.28,-0.16,"4,716,383,580.85",12/1/2025
